score,score_type,learning_alg,feature_set,domain
0.0,d,EG,Raw,pursuit
0.9377159214292766,d,EG,Raw,pursuit
0.0,d,EG,Raw,pursuit
0.6415951041358208,d,EG,Raw,pursuit
1.0,d,EG,Raw,pursuit
1.0,d,EG,Raw,pursuit
1.0,d,EG,Raw,pursuit
1.0,d,EG,Raw,pursuit
0.0,d,EG,Raw,pursuit
0.0,d,EG,Raw,pursuit
0.0,d,EG,Raw,pursuit
0.0,d,EG,Raw,pursuit
0.9377159214292766,d,EG,Raw,pursuit
0.0,d,EG,Raw,pursuit
1.0,d,EG,Raw,pursuit
0.0,d,EG,Raw,pursuit
1.0,d,EG,Raw,pursuit
0.0,d,EG,Raw,pursuit
1.0,d,EG,Raw,pursuit
0.0,d,EG,Raw,pursuit
1.0,d,EG,Raw,pursuit
0.8883624518803673,d,EG,Raw,pursuit
0.0,d,EG,Raw,pursuit
0.0,d,EG,Raw,pursuit
0.0,d,EG,Raw,pursuit
0.8883624518803673,d,EG,Raw,pursuit
0.0,d,EG,Raw,pursuit
0.9377159214292766,d,EG,Raw,pursuit
0.0,d,EG,Raw,pursuit
0.987069390978186,d,EG,Raw,pursuit
0.8883624518803673,d,REGAE,Raw,pursuit
0.23031619122824332,d,REGAE,Raw,pursuit
0.987069390978186,d,REGAE,Raw,pursuit
0.5428881650380022,d,REGAE,Raw,pursuit
1.0,d,REGAE,Raw,pursuit
0.9377159214292766,d,REGAE,Raw,pursuit
0.8390089823314582,d,REGAE,Raw,pursuit
0.6909485736847303,d,REGAE,Raw,pursuit
0.8883624518803673,d,REGAE,Raw,pursuit
1.0,d,REGAE,Raw,pursuit
0.7896555127825488,d,REGAE,Raw,pursuit
0.7896555127825488,d,REGAE,Raw,pursuit
1.0,d,REGAE,Raw,pursuit
0.6909485736847303,d,REGAE,Raw,pursuit
0.6415951041358208,d,REGAE,Raw,pursuit
1.0,d,REGAE,Raw,pursuit
0.6909485736847303,d,REGAE,Raw,pursuit
0.7896555127825488,d,REGAE,Raw,pursuit
1.0,d,REGAE,Raw,pursuit
0.23031619122824332,d,REGAE,Raw,pursuit
1.0,d,REGAE,Raw,pursuit
0.6909485736847303,d,REGAE,Raw,pursuit
1.0,d,REGAE,Raw,pursuit
0.987069390978186,d,REGAE,Raw,pursuit
0.8390089823314582,d,REGAE,Raw,pursuit
0.6909485736847303,d,REGAE,Raw,pursuit
0.5428881650380022,d,REGAE,Raw,pursuit
0.14806040864672787,d,REGAE,Raw,pursuit
1.0,d,REGAE,Raw,pursuit
1.0,d,REGAE,Raw,pursuit
0.8883624518803673,d,EG,AAT,pursuit
0.0,d,EG,AAT,pursuit
0.0,d,EG,AAT,pursuit
0.9377159214292766,d,EG,AAT,pursuit
0.0,d,EG,AAT,pursuit
0.0,d,EG,AAT,pursuit
1.0,d,EG,AAT,pursuit
0.0,d,EG,AAT,pursuit
0.0,d,EG,AAT,pursuit
1.0,d,EG,AAT,pursuit
0.8883624518803673,d,EG,AAT,pursuit
0.0,d,EG,AAT,pursuit
0.0,d,EG,AAT,pursuit
0.6415951041358208,d,EG,AAT,pursuit
0.5922416345869116,d,EG,AAT,pursuit
1.0,d,EG,AAT,pursuit
1.0,d,EG,AAT,pursuit
0.0,d,EG,AAT,pursuit
0.0,d,EG,AAT,pursuit
0.8390089823314582,d,EG,AAT,pursuit
0.9377159214292766,d,EG,AAT,pursuit
0.6909485736847303,d,EG,AAT,pursuit
0.0,d,EG,AAT,pursuit
0.0,d,EG,AAT,pursuit
0.0,d,EG,AAT,pursuit
0.0,d,EG,AAT,pursuit
